Employee Name,Phone Number,Email Address,Company
Muhammed MacIntyre,9096521246,josephine_darakjy@darakjy.org,Winjit Pvt Ltd
Barry French,9096521246,art@venere.org,"Eldon Base for stackable storage shelf, platinum"
Barry French,9096521246,lpaprocki@hotmail.com,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Clay Rozendal,9096521246,donette.foller@cox.net,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl"
Carlos Soltero,9096521246,simona@morasca.com,R380
Carlos Soltero,9096521246,mitsue_tollner@yahoo.com,Holmes HEPA Air Purifier
Carl Jackson,9096521246,leota@hotmail.com,G.E. Longer-Life Indoor Recessed Floodlight Bulbs
Carl Jackson,9096521246,sage_wieser@cox.net,"Angle-D Binders with Locking Rings, Label Holders"
Monica Federle,9096521246,kris@gmail.com,"SAFCO Mobile Desk Side File, Wire Frame"
Dorothy Badders,9096521246,minna_amigon@yahoo.com,"SAFCO Commercial Wire Shelving, Black"
Neola Schneider,9096521246,amaclead@gmail.com,Xerox 198
Neola Schneider,9096521246,kiley.caldarera@aol.com,Xerox 1980
Carlos Daly,9096521246,gruta@cox.net,Advantus Map Pennant Flags and Round Head Tacks
Carlos Daly,9096521246,calbares@gmail.com,Holmes HEPA Air Purifier
Claudia Miner,9096521246,mattie@aol.com,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples"
Neola Schneider,931-313-9635,meaghan@hotmail.com,"Wilson Jones 1"" Hanging DublLock® Ring Binders"
Allen Rosenblatt,414-661-9598,gladys.rim@rim.org,Ultra Commercial Grade Dual Valve Door Closer
Sylvia Foulston,313-288-7937,yuki_whobrey@aol.com,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
Sylvia Foulston,815-828-2147,fletcher.flosi@yahoo.com,Hon 4-Shelf Metal Bookcases
Jim Radford,610-545-3615,bette_nicka@cox.net,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table"
Jim Radford,408-540-1785,vinouye@aol.com,g520
Carlos Soltero,972-303-9197,willard@hotmail.com,LX 788
Carlos Soltero,518-966-7987,mroyster@royster.com,Avery 52
Carl Ludwig,732-658-3154,alisha@slusarski.com,Plymouth Boxed Rubber Bands by Plymouth
Carl Ludwig,715-662-6764,allene_iturbide@cox.net,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
Don Miller,913-388-2079,chanel.caudy@caudy.org,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack"
Annie Cyprus,410-669-1642,ezekiel@chui.com,Newell 335
Carl Ludwig,212-582-4976,wkusko@yahoo.com,SANFORD Liquid Accent™ Tank-Style Highlighters
Carlos Soltero,936-336-3951,bfigeroa@aol.com,Canon PC940 Copier
Grant Carroll,614-801-9788,ammie@corrio.com,"Tenex Personal Project File with Scoop Front Design, Black"
Don Miller,505-977-3911,francine_vocelka@vocelka.com,Col-Erase® Pencils with Erasers
Don Miller,201-709-6245,ernie_stenseth@aol.com,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack"
Alan Barnes,732-924-7882,albina@glick.com,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11"
Alan Barnes,212-860-1579,asergi@gmail.com,Self-Adhesive Address Labels for Typewriters by Universal
Jack Garza,504-979-9175,solange@shinko.com,Accessory37
Julia West,212-675-8570,jose@yahoo.com,Fuji 5.2GB DVD-RAM
Eugene Barchas,805-832-6163,rozella.ostrosky@ostrosky.com,Bevis Steel Folding Chairs
Eugene Barchas,210-812-9597,valentine_gillian@gmail.com,Avery Binder Labels
Eugene Barchas,785-463-7829,kati.rulapaugh@hotmail.com,Hon Every-Day® Chair Series Swivel Task Chairs
Edward Hooks,541-548-8197,josephine_darakjy@darakjy.org,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case"
Brad Eason,913-413-4604,art@venere.org,Global Troy™ Executive Leather Low-Back Tilter
Nicole Hansen,907-231-4722,lpaprocki@hotmail.com,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal
Dorothy Wardle,305-606-7291,donette.foller@cox.net,Computer Printout Paper with Letter-Trim Perforations
Aaron Bergman,907-741-1044,simona@morasca.com,6160
Jim Radford,952-768-2416,mitsue_tollner@yahoo.com,Avery 49
Annie Cyprus,617-399-5124,leota@hotmail.com,Hoover Portapower™ Portable Vacuum
Annie Cyprus,323-453-2780,sage_wieser@cox.net,Timeport L7089
Annie Cyprus,608-336-7444,kris@gmail.com,Avery 510
Annie Cyprus,215-907-9111,minna_amigon@yahoo.com,Xerox 1881
Annie Cyprus,212-402-9216,amaclead@gmail.com,LX 788
Clay Rozendal,931-875-6644,kiley.caldarera@aol.com,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl"
Don Jones,803-925-5213,gruta@cox.net,"Memorex 4.7GB DVD-RAM, 3/Pack"
Beth Thompson,610-814-5533,calbares@gmail.com,Unpadded Memo Slips
Frank Price,908-877-6135,mattie@aol.com,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"
Michelle Lonsdale,516-968-6051,meaghan@hotmail.com,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak"
Ann Chong,215-934-8655,gladys.rim@rim.org,Bell Sonecor JB700 Caller ID
Ann Chong,818-423-4007,yuki_whobrey@aol.com,Avery Arch Ring Binders
Joy Bell,401-458-2547,fletcher.flosi@yahoo.com,APC 7 Outlet Network SurgeArrest Surge Protector
Joy Bell,215-211-9589,bette_nicka@cox.net,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting"
Skye Norling,401-960-8259,vinouye@aol.com,Accessory4
Barry Weirich,732-234-1546,willard@hotmail.com,Personal Creations™ Ink Jet Cards and Labels
Grant Carroll,512-486-3817,mroyster@royster.com,High Speed Automatic Electric Letter Opener
Grant Carroll,303-724-7371,alisha@slusarski.com,Xerox 1966
Adrian Hane,414-748-1374,allene_iturbide@cox.net,Xerox 213
Skye Norling,212-674-9610,chanel.caudy@caudy.org,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black"
Skye Norling,907-797-9628,ezekiel@chui.com,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)
Andrew Gjertsen,814-393-5571,wkusko@yahoo.com,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
Ralph Knight,410-914-9018,bfigeroa@aol.com,Crate-A-Files™
Dorothy Wardle,208-862-5339,ammie@corrio.com,"Angle-D Binders with Locking Rings, Label Holders"
Dorothy Wardle,415-315-2761,francine_vocelka@vocelka.com,"80 Minute CD-R Spindle, 100/Pack - Staples"
Dorothy Wardle,919-225-9345,ernie_stenseth@aol.com,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"
Grant Carroll,650-528-5783,albina@glick.com,12-1/2 Diameter Round Wall Clock
Barry Weirich,925-647-3298,asergi@gmail.com,SAFCO Arco Folding Chair
Beth Paige,740-343-8575,solange@shinko.com,"#10 White Business Envelopes,4 1/8 x 9 1/2"
Sylvia Foulston,585-866-8313,jose@yahoo.com,3M Office Air Cleaner
Nicole Hansen,410-520-4832,rozella.ostrosky@ostrosky.com,"Global Leather and Oak Executive Chair, Black"
Nicole Hansen,973-354-2040,valentine_gillian@gmail.com,Xerox 1936
Nicole Hansen,773-446-5569,kati.rulapaugh@hotmail.com,Xerox 214
Beth Paige,973-927-3447,youlanda@aol.com,Carina Double Wide Media Storage Towers in Natural & Black
Beth Paige,505-975-8559,tigotevish@gmail.com,Staples® General Use 3-Ring Binders
Beth Paige,718-332-6527,tigotevish@gmail.com,Xerox 1904
Beth Paige,904-775-4480,tigotevish@gmail.com,Luxo Professional Combination Clamp-On Lamps
Beth Paige,510-993-3758,tigotevish@gmail.com,Xerox 217
Sylvia Foulston,216-657-7668,tigotevish@gmail.com,Revere Boxed Rubber Bands by Revere
Bryan Davis,817-914-7518,tigotevish@gmail.com,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets"
Joy Bell,310-774-7643,tigotevish@gmail.com,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units"
Joy Bell,847-728-7286,tigotevish@gmail.com,Hon 4070 Series Pagoda™ Round Back Stacking Chairs
Joy Bell,330-537-5358,tigotevish@gmail.com,Xerox 1887
Alan Barnes,215-255-1641,tigotevish@gmail.com,Xerox 1891
Grant Carroll,650-803-1936,tigotevish@gmail.com,Avery 506
Grant Carroll,626-572-1096,tigotevish@gmail.com,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
Grant Carroll,254-782-8569,tigotevish@gmail.com,"Lifetime Advantage™ Folding Chairs, 4/Carton"
Delfina Latchford,907-870-5536,tigotevish@gmail.com,Microsoft Natural Multimedia Keyboard
Don Jones,408-703-8505,tigotevish@gmail.com,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"
Doug Bickford,510-503-7169,tigotevish@gmail.com,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
Doug Bickford,317-722-5066,tigotevish@gmail.com,Bevis Boat-Shaped Conference Table
Doug Bickford,307-704-8713,tigotevish@gmail.com,"Linden® 12"" Wall Clock With Oak Frame"
Jamie Kunitz,703-235-3937,tigotevish@gmail.com,Newell 326
Anthony Johnson,504-710-5840,tigotevish@gmail.com,Prismacolor Color Pencil Set
Ralph Knight,303-301-4946,tigotevish@gmail.com,Xerox Blank Computer Paper
Nayar,510-828-7047,tigotevish@gmail.com,600 Series Flip
Sengbusch,808-892-7943,tigotevish@gmail.com,Fellowes Recycled Storage Drawers
Sarao,952-334-9408,tigotevish@gmail.com,Satellite Sectional Post Binders
Mcrae,336-243-5659,tigotevish@gmail.com,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
Lueckenbach,516-509-2347,tigotevish@gmail.com,Avery 487
Husser,503-939-3153,tigotevish@gmail.com,Bevis Round Conference Table Top & Single Column Base
Onofrio,608-976-7199,tigotevish@gmail.com,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black"
Jurney,508-429-8576,tigotevish@gmail.com,Hanging Personal Folder File
Heimann,305-385-9695,tigotevish@gmail.com,"Bevis Round Conference Table Top, X-Base"
Wenzinger,814-460-2655,tigotevish@gmail.com,5125
Angalich,972-666-3413,tigotevish@gmail.com,Electrix Halogen Magnifier Lamp
Ohms,931-273-8709,tigotevish@gmail.com,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator
